  4.98647250465932557E-002  4.98647250465932557E-002   0.0000000    
  1.87221935895345859E-002  2.01434230227053512E-003   0.0000000               0
  2.01434333292619663E-003  1.86882363088180410E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.14909859681364748        0.0000000    
  1.87004878657146580E-002  1.86057887450714844E-003   0.0000000               0
  1.99254192374895668E-003  1.85320055421130184E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.24685065885020532        0.0000000    
  1.85318647564835827E-002  1.46488547294025529E-003   0.0000000               0
  1.86297283713699868E-003  1.80942627296151425E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.34214940653888148        0.0000000    
  1.82122735779783745E-002  8.35363695682426045E-004   0.0000000               0
  1.63648573971246492E-003  1.73681794702814675E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.43404771720184693        0.0000000    
  1.77408803498499065E-002 -1.05904362269729488E-005   0.0000000               0
  1.33211453800611895E-003  1.63512727516240790E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.52163226288156528        0.0000000    
  1.71231055428747933E-002 -1.04392241846669714E-003   0.0000000               0
  9.77114657963413201E-004  1.50507763172685622E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.60403258714842112        0.0000000    
  1.63736194661816270E-002 -2.22234820701113032E-003   0.0000000               0
  6.05820379517825014E-004  1.34893564015734942E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.68042975561555086        0.0000000    
  1.55183791980264968E-002 -3.49071733180627251E-003   0.0000000               0
  2.56637505410833400E-004  1.17097984088475066E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.75006449393667485        0.0000000    
  1.45948257418224755E-002 -4.78417971993411097E-003   0.0000000               0
 -3.31045110399501782E-005  9.77718861869578647E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.81224473177744239        0.0000000    
  1.36497305075312866E-002 -6.03426466532740874E-003   0.0000000               0
 -2.33933093770017790E-004  7.77746268642255309E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.86635247601267551        0.0000000    
  1.27348613176595706E-002 -7.17686298969143991E-003   0.0000000               0
 -3.31164073819138522E-004  5.81201729585834135E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.91184993906373191        0.0000000    
  1.19014148491168887E-002 -8.16004462421949898E-003   0.0000000               0
 -3.29747033470054770E-004  3.98916125189286309E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.94828483841723243        0.0000000    
  1.11946820473290201E-002 -8.94921262543752795E-003   0.0000000               0
 -2.54748281009988670E-004  2.41409448542931554E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.97529469048270923        0.0000000    
  1.06503604129505117E-002 -9.52771275580036915E-003   0.0000000               0
 -1.46188579144792457E-004  1.17942708880966452E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  0.99260893397276140        0.0000000    
  1.02932523046336388E-002 -9.89262352536589805E-003   0.0000000               0
 -4.88395640771001108E-005  3.57858759696934336E-004   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002   1.0000000000000000        0.0000000    
  1.01390410293967521E-002 -1.00464687731740675E-002   0.0000000               0
 -1.70893216829531742E-017  1.70414524345415415E-017   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
